,Loss,S1,S2,S2_Call,S1_Call,S2_Put,S1_Put,Date,Symbol
168,-3539.0,157.5,175.0,0.005,-7.475,-10.425,0.005,2023-04-21,AAPL
234,-3539.0,157.5,175.0,0.005,-7.475,-10.425,0.005,2023-04-28,AAPL
102,-3539.0,157.5,175.0,0.005,-7.475,-10.425,0.005,2023-04-14,AAPL
36,-3539.0,157.5,175.0,0.005,-7.475,-10.425,0.005,2023-04-06,AAPL
17,-3536.5,152.5,170.0,0.005,-12.175,-5.7,0.005,2023-04-06,AAPL
83,-3536.5,152.5,170.0,0.005,-12.175,-5.7,0.005,2023-04-14,AAPL
215,-3536.5,152.5,170.0,0.005,-12.175,-5.7,0.005,2023-04-28,AAPL
149,-3536.5,152.5,170.0,0.005,-12.175,-5.7,0.005,2023-04-21,AAPL
159,-3501.5,155.0,172.5,0.005,-10.024999999999999,-7.5,0.005,2023-04-21,AAPL
93,-3501.5,155.0,172.5,0.005,-10.024999999999999,-7.5,0.005,2023-04-14,AAPL
225,-3501.5,155.0,172.5,0.005,-10.024999999999999,-7.5,0.005,2023-04-28,AAPL
27,-3501.5,155.0,172.5,0.005,-10.024999999999999,-7.5,0.005,2023-04-06,AAPL
176,-3451.5,160.0,177.5,0.005,-4.425000000000001,-12.6,0.005,2023-04-21,AAPL
110,-3451.5,160.0,177.5,0.005,-4.425000000000001,-12.6,0.005,2023-04-14,AAPL
44,-3451.5,160.0,177.5,0.005,-4.425000000000001,-12.6,0.005,2023-04-06,AAPL
242,-3451.5,160.0,177.5,0.005,-4.425000000000001,-12.6,0.005,2023-04-28,AAPL
158,-3071.4999999999995,155.0,170.0,0.005,-10.024999999999999,-5.7,0.005,2023-04-21,AAPL
92,-3071.4999999999995,155.0,170.0,0.005,-10.024999999999999,-5.7,0.005,2023-04-14,AAPL
26,-3071.4999999999995,155.0,170.0,0.005,-10.024999999999999,-5.7,0.005,2023-04-06,AAPL
224,-3071.4999999999995,155.0,170.0,0.005,-10.024999999999999,-5.7,0.005,2023-04-28,AAPL
214,-3063.5,152.5,167.5,0.005,-12.175,-3.4699999999999998,0.005,2023-04-28,AAPL
82,-3063.5,152.5,167.5,0.005,-12.175,-3.4699999999999998,0.005,2023-04-14,AAPL
16,-3063.5,152.5,167.5,0.005,-12.175,-3.4699999999999998,0.005,2023-04-06,AAPL
148,-3063.5,152.5,167.5,0.005,-12.175,-3.4699999999999998,0.005,2023-04-21,AAPL
203,-3015.0,150.0,165.0,0.005,-14.7,-0.45999999999999996,0.005,2023-04-28,AAPL
71,-3015.0,150.0,165.0,0.005,-14.7,-0.45999999999999996,0.005,2023-04-14,AAPL
5,-3015.0,150.0,165.0,0.005,-14.7,-0.45999999999999996,0.005,2023-04-06,AAPL
137,-3015.0,150.0,165.0,0.005,-14.7,-0.45999999999999996,0.005,2023-04-21,AAPL
35,-2996.4999999999995,157.5,172.5,0.005,-7.475,-7.5,0.005,2023-04-06,AAPL
101,-2996.4999999999995,157.5,172.5,0.005,-7.475,-7.5,0.005,2023-04-14,AAPL
167,-2996.4999999999995,157.5,172.5,0.005,-7.475,-7.5,0.005,2023-04-21,AAPL
233,-2996.4999999999995,157.5,172.5,0.005,-7.475,-7.5,0.005,2023-04-28,AAPL
241,-2984.0000000000005,160.0,175.0,0.005,-4.425000000000001,-10.425,0.005,2023-04-28,AAPL
175,-2984.0000000000005,160.0,175.0,0.005,-4.425000000000001,-10.425,0.005,2023-04-21,AAPL
43,-2984.0000000000005,160.0,175.0,0.005,-4.425000000000001,-10.425,0.005,2023-04-06,AAPL
109,-2984.0000000000005,160.0,175.0,0.005,-4.425000000000001,-10.425,0.005,2023-04-14,AAPL
116,-2968.5,162.5,177.5,0.005,-2.095,-12.6,0.005,2023-04-14,AAPL
182,-2968.5,162.5,177.5,0.005,-2.095,-12.6,0.005,2023-04-21,AAPL
248,-2968.5,162.5,177.5,0.005,-2.095,-12.6,0.005,2023-04-28,AAPL
50,-2968.5,162.5,177.5,0.005,-2.095,-12.6,0.005,2023-04-06,AAPL
25,-2598.5,155.0,167.5,0.005,-10.024999999999999,-3.4699999999999998,0.005,2023-04-06,AAPL
223,-2598.5,155.0,167.5,0.005,-10.024999999999999,-3.4699999999999998,0.005,2023-04-28,AAPL
157,-2598.5,155.0,167.5,0.005,-10.024999999999999,-3.4699999999999998,0.005,2023-04-21,AAPL
91,-2598.5,155.0,167.5,0.005,-10.024999999999999,-3.4699999999999998,0.005,2023-04-14,AAPL
100,-2566.5,157.5,170.0,0.005,-7.475,-5.7,0.005,2023-04-14,AAPL
34,-2566.5,157.5,170.0,0.005,-7.475,-5.7,0.005,2023-04-06,AAPL
232,-2566.5,157.5,170.0,0.005,-7.475,-5.7,0.005,2023-04-28,AAPL
166,-2566.5,157.5,170.0,0.005,-7.475,-5.7,0.005,2023-04-21,AAPL
15,-2512.5,152.5,165.0,0.005,-12.175,-0.45999999999999996,0.005,2023-04-06,AAPL
147,-2512.5,152.5,165.0,0.005,-12.175,-0.45999999999999996,0.005,2023-04-21,AAPL
81,-2512.5,152.5,165.0,0.005,-12.175,-0.45999999999999996,0.005,2023-04-14,AAPL
